,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
          Female,"1,745",236,61.8,6.2,10.6,3.1,40.2,6.4,0,1.3,3.2,2.2,0,1.3,0.5,4.6,2.7,3,4.6,3.1
"2400 Archivists, curators, and museum technicians 2400 (SOC 25-4010)",545,145,100,6.6,56,14.5,41.3,14.7,0,6.6,3.7,3.9,0,6.6,0,6.6,0,6.6,0,6.6
          Male,175,92,32.1,14.4,22,13.7,10.1,8.3,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6
          Female,370,123,67.9,14.4,33.9,15,30.3,13.5,0,6.6,3.7,3.9,0,6.6,0,6.6,0,6.6,0,6.6
2430 Librarians 2430 (SOC 25-4021),660,179,100,5.5,39.4,12.6,53.8,12.9,0,5.5,2.3,4.6,0,5.5,2.3,19.5,2.3,3.6,0,5.5
          Male,255,106,38.6,13,20.5,9.7,13.6,8.7,0,5.5,2.3,4.6,0,5.5,0,5.5,2.3,3.6,0,5.5
          Female,400,135,60.6,12.6,18.9,9,40.2,14.9,0,5.5,0,5.5,0,5.5,2.3,19.5,0,5.5,0,5.5
2440 Library technicians 2440 (SOC 25-4031),435,135,100,8.3,17.2,9.7,66.7,13.8,0,8.3,2.3,3.6,0,8.3,6.9,30.3,6.9,10.9,0,8.3
          Male,205,105,47.1,16.4,8,8.3,28.7,13.2,0,8.3,0,8.3,0,8.3,3.4,29.7,6.9,10.9,0,8.3
          Female,230,90,52.9,16.4,8,7.4,37.9,16.1,0,8.3,2.3,3.6,0,8.3,3.4,29.9,0,8.3,0,8.3
2540 Teacher assistants 2540 (SOC 25-9041),"3,105",437,100,1.2,12.7,4.4,77.9,5.2,0,1.2,2.7,2.1,0,1.2,0.5,4.2,1.8,1.3,4.2,2.8
          Male,575,187,18.5,5.3,2.6,1.9,15,5.2,0,1.2,0.6,1,0,1.2,0,1.2,0.3,0.5,0,1.2
          Female,"2,530",382,81.5,5.3,10.1,3.7,63,6.7,0,1.2,2.3,1.8,0,1.2,0.5,4.2,1.4,1.2,4.2,2.8
"2550 Other education, training, and library workers 2550 (SOC 25-90XX)",450,186,100,8,12.2,10,86.7,9.7,0,8,0,8,0,8,0,8,0,8,0,8
          Male,160,113,35.6,19,5.6,7.5,30,16.9,0,8,0,8,0,8,0,8,0,8,0,8
          Female,290,137,64.4,19.1,6.7,6.7,57.8,20.5,0,8,0,8,0,8,0,8,0,8,0,8
2600 Artists and related workers 2600 (SOC 27-1010),230,117,100,15,47.8,23.5,47.8,24.3,0,15,6.5,10.6,0,15,0,15,0,15,0,15
          Male,110,82,47.8,25.3,19.6,14.4,26.1,24.9,0,15,1.7,1,0,15,0,15,0,15,0,15
          Female,120,79,52.2,25.5,26.1,20.6,19.6,21.6,0,15,6.5,10.2,0,15,0,15,0,15,0,15
2630 Designers 2630 (SOC 27-1020),"1,300",260,100,2.8,38.5,10.8,42.7,10.2,0.8,1.6,5.4,5.3,0,2.8,4.2,10.5,1.5,1.9,6.5,5
          Male,575,169,44.2,10.6,15.4,6,19.2,9,0.8,1.6,1.9,2,0,2.8,4.2,10.5,0.3,0.9,2.3,2.7
          Female,720,207,55.4,10.4,23.1,8.6,23.5,9.4,0,2.8,3.5,4.9,0,2.8,0,2.8,1.2,1.9,4.2,4.2
2700 Actors 2700 (SOC 27-2011),145,82,100,22.5,41.4,29.6,58.6,29.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
          Male,110,66,75.9,35.3,41.4,29.6,34.5,31.9,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
          Female,35,57,24.1,34.8,0,22.5,24.1,34.8,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
2710 Producers and directors 2710 (SOC 27-2012),465,139,100,7.7,30.1,13.4,55.9,15.8,0,7.7,3.2,5.8,0,7.7,6.5,29.1,4.3,7,0,7.7
          Male,195,80,41.9,13.4,18.3,9.6,20.4,12.4,0,7.7,3.2,5.8,0,7.7,0,7.7,0,7.7,0,7.7
          Female,265,108,57,13.6,11.8,9.1,35.5,14.2,0,7.7,0,7.7,0,7.7,6.5,29.1,4.3,7,0,7.7
"2720 Athletes, coaches, umpires, and related workers 2720 (SOC 27-2020)",620,181,100,5.9,40.3,14.3,50.8,15.1,0,5.9,7.3,8.7,0,5.9,0,5.9,1.6,3.1,0,5.9
          Male,465,146,75,13.3,35.5,14.5,32.3,13.6,0,5.9,7.3,8.7,0,5.9,0,5.9,0,5.9,0,5.9
          Female,155,99,25,13.3,4.8,5.6,18.5,13.2,0,5.9,0,5.9,0,5.9,0,5.9,1.6,3.1,0,5.9
2740 Dancers and choreographers 2740 (SOC 27-2030),50,77,100,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,100,254,0,45.1,0,45.1
          Male,0,127,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1
          Female,50,77,100,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,100,254,0,45.1,0,45.1
"2750 Musicians, singers, and related workers 2750 (SOC 27-2040)",565,192,100,6.4,21.2,11.6,75.2,12.5,0,6.4,0,6.4,0,6.4,0,6.4,3.5,4.8,0,6.4
          Male,465,178,82.3,9.8,10.6,9,69,13.1,0,6.4,0,6.4,0,6.4,0,6.4,2.7,4.3,0,6.4
          Female,100,60,17.7,10,10.6,7.7,5.3,5.8,0,6.4,0,6.4,0,6.4,0,6.4,0.7,2.7,0,6.4
"2760 Entertainers and performers, sports and related workers, all other 2760 (SOC 27-2099)",135,82,100,23.9,40.7,30.6,48.1,33.1,0,23.9,0,23.9,0,23.9,0,23.9,7.4,12.9,0,23.9
          Male,90,53,66.7,15.4,33.3,21,33.3,25.8,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9
          Female,45,37,33.3,15.2,11.1,14.5,14.8,18.3,0,23.9,0,23.9,0,23.9,0,23.9,7.4,12.9,0,23.9
2800 Announcers 2800 (SOC 27-3010),110,95,100,28.2,3.6,9.6,95.5,13.5,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
          Male,65,80,59.1,43.7,3.6,9.6,54.5,42.8,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
          Female,45,51,40.9,42,0,28.2,40.9,42,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
"2810 News analysts, reporters and correspondents 2810 (SOC 27-3020)",210,114,100,16.3,45.2,25.1,38.1,20.6,0,16.3,9.5,15.7,0,16.3,0,16.3,0,16.3,7.1,10.9
          Male,100,81,47.6,23.5,23.8,22.5,16.7,19.4,0,16.3,9.5,15.7,0,16.3,0,16.3,0,16.3,0,16.3
          Female,110,68,52.4,23.1,21.4,20.7,21.4,15.7,0,16.3,0,16.3,0,16.3,0,16.3,0,16.3,7.1,10.9
2825 Public relations specialists 2825 (SOC 27-3031),840,235,100,4.4,14.9,8.1,76.2,9.5,0,4.4,0,4.4,0,4.4,3.5,15.5,3,3.6,2.4,3.8
          Male,375,162,44.6,13,2.4,2.7,37.5,12.6,0,4.4,0,4.4,0,4.4,0.5,15.1,1.2,2.7,2.4,3.8
          Female,465,156,55.4,12.8,11.9,8,38.7,11.7,0,4.4,0,4.4,0,4.4,3,15.4,1.8,2.9,0,4.4
2830 Editors 2830 (SOC 27-3041),720,182,100,5.1,52.1,11.4,34,10.4,0,5.1,3.5,3.3,0,5.1,4.2,18.5,6.3,6.4,0,5.1
          Male,445,155,61.8,11.9,34.7,11.6,18.8,8.4,0,5.1,0.6,1,0,5.1,2.1,18.1,4.9,6.4,0,5.1
          Female,280,99,38.9,11.9,16.7,9,15.3,8.5,0,5.1,2.8,3.4,0,5.1,2.1,18,1.4,2.2,0,5.1
2840 Technical writers 2840 (SOC 27-3042),265,100,100,13.2,32.1,19.2,66,19.6,0,13.2,0,13.2,0,13.2,1.5,48.1,0,13.2,0,13.2
          Male,125,68,47.2,20.6,18.9,16.7,28.3,20.9,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2
          Female,140,77,52.8,20.9,13.2,14.8,37.7,20.6,0,13.2,0,13.2,0,13.2,1.5,48.1,0,13.2,0,13.2
2850 Writers and authors 2850 (SOC 27-3043),640,171,100,5.7,40.6,12.5,57,12.7,0,5.7,0,5.7,0,5.7,0,5.7,2.3,3.2,0,5.7
          Male,240,106,37.5,11.8,22.7,11.6,14.8,11.2,0,5.7,0,5.7,0,5.7,0,5.7,0,5.7,0,5.7
          Female,400,122,62.5,11.9,18.8,8,42.2,14.2,0,5.7,0,5.7,0,5.7,0,5.7,2.3,3.2,0,5.7
2860 Miscellaneous media and communication workers 2860 (SOC 27-3090),285,84,100,12.3,63.2,18.9,14,14.3,0,12.3,0,12.3,0,12.3,0,12.3,8.8,8.2,12.3,15.7
          Male,120,69,42.1,20.9,26.3,17.6,14,14.3,0,12.3,0,12.3,0,12.3,0,12.3,1.4,3.4,0,12.3
          Female,160,73,56.1,20.5,36.8,16.9,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3,7,7.6,12.3,15.7
"2900 Broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other 2900 (SOC 27-40XX)",605,166,100,6,19.8,10.8,72.7,10.3,0,6,2.5,3.8,0,6,2.3,21.3,1.7,3,0,6
          Male,540,159,89.3,9.5,19.8,10.8,61.2,13.3,0,6,2.5,3.8,0,6,2.3,21.3,1.7,3,0,6
          Female,70,57,11.6,9.1,0,6,11.6,9.1,0,6,0,6,0,6,0,6,0,6,0,6
2910 Photographers 2910 (SOC 27-4021),430,151,100,8.3,39.5,18.1,53.5,19,0,8.3,0,8.3,0,8.3,3.5,30.2,3.5,5.1,0,8.3
          Male,260,121,60.5,14.9,20.9,12.6,36,18.1,0,8.3,0,8.3,0,8.3,0,8.3,3.5,5.1,0,8.3
          Female,170,77,39.5,14.9,17.4,10.8,17.4,14,0,8.3,0,8.3,0,8.3,3.5,30.2,0,8.3,0,8.3
"2920 Television, video, and motion picture camera operators and editors 2920 (SOC 27-4030)",95,57,100,31.4,10.5,14.5,84.2,19.9,0,31.4,4.2,16.2,0,31.4,0,31.4,0,31.4,0,31.4
          Male,70,54,73.7,28.5,0,31.4,68.4,25.5,0,31.4,4.2,16.2,0,31.4,0,31.4,0,31.4,0,31.4
          Female,25,28,26.3,27.5,10.5,14.5,15.8,25.6,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4
3000 Chiropractors 3000 (SOC 29-1011),15,23,100,82.2,0,82.3,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Male,0,127,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,15,23,100,82.2,0,82.3,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
3010 Dentists 3010 (SOC 29-1020),300,111,100,11.7,26.7,16,71.7,16.5,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7
          Male,165,79,55,17.7,21.7,14.7,33.3,16,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7
          Female,130,74,43.3,17.5,5,8.5,38.3,17.3,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7
3030 Dietitians and nutritionists 3030 (SOC 29-1031),215,112,100,15.9,14,14.7,86,15.2,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9
          Male,15,32,7,14.5,0,15.9,7,14.5,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9
          Female,200,108,93,13.6,14,14.7,79.1,18.8,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9,0,15.9
3040 Optometrists 3040 (SOC 29-1041),15,30,100,82.2,0,82.3,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Male,15,30,100,82.2,0,82.3,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,0,127,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
3050 Pharmacists 3050 (SOC 29-1051),460,143,100,7.8,12,8.3,71.7,14.5,0,7.8,16.3,13,0,7.8,0,7.8,0,7.8,0,7.8
          Male,175,98,38,15.6,7.6,6.9,30.4,15.6,0,7.8,0,7.8,0,7.8,0,7.8,0,7.8,0,7.8
          Female,285,101,62,16,4.3,4.7,41.3,13.4,0,7.8,16.3,13,0,7.8,0,7.8,0,7.8,0,7.8
3060 Physicians and surgeons 3060 (SOC 29-1060),"1,480",316,100,2.5,20.3,7,56.8,8.9,0,2.5,16.6,6.7,0,2.5,0,2.5,4.1,3.6,2.4,2.8
          Male,800,224,54.1,7.9,13.2,5,29.1,8.6,0,2.5,8.1,4.5,0,2.5,0,2.5,3,2.9,0.7,1.1
          Female,680,168,45.9,8,7.1,3.4,28,7.8,0,2.5,8.1,4.5,0,2.5,0,2.5,1.4,2.2,1.4,2.6
3110 Physician assistants 3110 (SOC 29-1071),245,94,100,14.2,28.6,20.6,36.7,20.3,0,14.2,34.7,23.1,0,14.2,0,14.2,0,14.2,0,14.2
          Male,115,67,46.9,20.3,12.2,15.6,4.1,6.7,0,14.2,30.6,21.8,0,14.2,0,14.2,0,14.2,0,14.2
          Female,130,68,53.1,20.7,16.3,14.3,32.7,20.1,0,14.2,4.1,7.1,0,14.2,0,14.2,0,14.2,0,14.2
3140 Audiologists 3140 (SOC 29-1181),30,29,100,58.2,100,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Male,0,127,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Female,30,29,100,58.2,100,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
3150 Occupational therapists 3150 (SOC 29-1122),155,96,100,21.3,22.6,21.9,67.7,25.6,0,21.3,9.7,15.8,0,21.3,0,21.3,0,21.3,0,21.3
          Male,15,24,9.7,15.8,0,21.3,0,21.3,0,21.3,9.7,15.8,0,21.3,0,21.3,0,21.3,0,21.3
          Female,145,92,93.5,16.4,22.6,21.9,67.7,25.6,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3
3160 Physical therapists 3160 (SOC 29-1123),345,106,100,10.3,29,14.9,59.4,16.8,0,10.3,5.8,6.8,0,10.3,2.9,37.2,0,10.3,4.3,6.6
          Male,130,73,37.7,16.3,0,10.3,31.9,17.5,0,10.3,2.9,3.9,0,10.3,0,10.3,0,10.3,4.3,6.6
          Female,215,79,62.3,16.3,29,14.9,27.5,15.6,0,10.3,2.9,4.9,0,10.3,2.9,37.2,0,10.3,0,10.3
3200 Radiation therapists 3200 (SOC 29-1124),10,15,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,10,15,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
3210 Recreational therapists 3210 (SOC 29-1125),60,48,100,41.1,33.3,39.5,66.7,37.7,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
          Male,20,25,33.3,37.7,25,39.7,6.7,7.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
          Female,40,40,66.7,36.8,6.7,17.7,66.7,36.7,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1
3220 Respiratory therapists 3220 (SOC 29-1126),205,82,100,16.6,34.1,22.1,58.5,22.6,0,16.6,4.9,8.5,0,16.6,2,62,0,16.6,0,16.6
          Male,115,60,56.1,25.6,9.8,12.2,41.5,21.6,0,16.6,4.9,8.5,0,16.6,0,16.6,0,16.6,0,16.6
          Female,90,69,43.9,25.3,24.4,24.6,17.1,14.8,0,16.6,0,16.6,0,16.6,2,62,0,16.6,0,16.6
3230 Speech-language pathologists 3230 (SOC 29-1127),190,85,100,17.8,21.1,18.9,71.1,22.6,0,17.8,0,17.8,0,17.8,7.9,68.5,0,17.8,0,17.8
          Male,15,25,7.9,13.1,0,17.8,7.9,13.1,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8
          Female,175,81,92.1,12.2,21.1,18.9,63.2,23.5,0,17.8,0,17.8,0,17.8,7.9,68.5,0,17.8,0,17.8
"3245 Other therapists, including exercise physiologists 3245 (SOC 29-112X)",415,167,100,8.6,14.5,11.7,53,22.5,0,8.6,12,17.9,0,8.6,0,8.6,9.6,13.1,10.8,10.7
          Male,155,113,37.3,20.3,3.6,5.3,24.1,18.4,0,8.6,0,8.6,0,8.6,0,8.6,9.6,13.1,0,8.6
          Female,260,123,62.7,20.7,10.8,10.9,28.9,18.2,0,8.6,12,17.9,0,8.6,0,8.6,0,8.6,10.8,10.7
3250 Veterinarians 3250 (SOC 29-1131),95,63,100,31.4,84.2,25.7,10.5,15.4,0,31.4,10.5,17.3,0,31.4,0,31.4,0,31.4,0,31.4
          Male,10,17,10.5,17.3,0,31.4,0,31.4,0,31.4,10.5,17.3,0,31.4,0,31.4,0,31.4,0,31.4
          Female,85,59,89.5,18.9,84.2,25.7,10.5,15.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4,0,31.4
3255 Registered nurses 3255 (SOC 29-1141),"7,925",525,100,0.5,15.4,2.5,70.8,3.2,0,0.5,9.7,2.2,0,0.5,1,1.7,1.1,0.9,2,0.9
          Male,875,231,11,2.6,0.9,0.6,7.9,2.3,0,0.5,1.4,0.8,0,0.5,0,0.5,0,0.5,0.7,0.5
          Female,"7,050",454,89,2.6,14.4,2.5,62.8,3.7,0,0.5,8.3,1.9,0,0.5,1,1.7,1.1,0.9,1.3,0.8
3256 Nurse anesthetists 3256 (SOC 29-1151),25,35,100,63.7,40,60,0,63.7,0,63.7,0,63.7,0,63.7,60,510.1,0,63.7,0,63.7
          Male,0,127,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Female,25,35,100,63.7,40,60,0,63.7,0,63.7,0,63.7,0,63.7,60,510.1,0,63.7,0,63.7
3258 Nurse practitioners and nurse midwives 3258 (SOC 29-11XX),190,103,100,17.8,34.2,23.8,63.2,23.4,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8
          Male,20,33,10.5,17.7,0,17.8,10.5,17.7,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8
          Female,170,100,89.5,17.3,34.2,23.8,55.3,26,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8,0,17.8
"3260 Health diagnosing and treating practitioners, all other 3260 (SOC 29-1199)",30,35,100,58.2,33.3,56.6,66.7,66.7,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Male,0,127,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
          Female,30,35,100,58.2,33.3,56.6,66.7,66.7,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2,0,58.2
3300 Clinical laboratory technologists and technicians 3300 (SOC 29-2010),"1,415",301,100,2.6,24.4,8.2,61.5,8.5,0,2.6,8.8,4.2,0,2.6,1.8,9.2,0.7,1,2.8,3.6
          Male,365,132,25.8,7.8,5.3,3.1,18,6.8,0,2.6,0.7,1.3,0,2.6,1.8,9.2,0,2.6,0,2.6
          Female,"1,050",252,74.2,7.8,19.1,8.1,43.5,10.3,0,2.6,8.1,4.2,0,2.6,0,2.6,0.7,1,2.8,3.6
3310 Dental hygienists 3310 (SOC 29-2021),250,166,100,13.9,20,17.3,70,24.6,0,13.9,0,13.9,0,13.9,8,52.1,0,13.9,4,5.9
          Male,50,67,20,18.5,4,7.3,16,20.2,0,13.9,0,13.9,0,13.9,0,13.9,0,13.9,0,13.9
          Female,200,119,80,18.4,16,16.1,54,21.2,0,13.9,0,13.9,0,13.9,8,52.1,0,13.9,4,5.9
3320 Diagnostic related technologists and technicians 3320 (SOC 29-2030),"1,040",234,100,3.5,4.8,3.8,83.2,7.9,0,3.5,2.9,4.1,0,3.5,3.8,12.9,1.4,2.1,4.3,3.9
          Male,315,120,30.3,8.4,0,3.5,23.6,8.2,0,3.5,1,1.6,0,3.5,2.4,12.8,0,3.5,3.4,3.7
          Female,725,174,69.7,8.5,4.8,3.8,59.6,9.6,0,3.5,1.9,3.7,0,3.5,1.4,12.4,1.4,2.1,1,1.6
3400 Emergency medical technicians and paramedics 3400 (SOC 29-2041),330,129,100,10.7,15.2,14.7,84.8,14.7,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7
          Male,135,76,40.9,18.4,0,10.7,40.9,18.4,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7
          Female,195,100,59.1,18.5,15.2,14.7,43.9,19.5,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7,0,10.7
3420 Health practitioner support technologists and technicians 3420 (SOC 29-2050),"1,360",290,100,2.7,11.4,6.4,74.3,9.8,0,2.7,6.3,5.2,0,2.7,1.8,9.6,3.7,4.8,2.6,4.1
          Male,390,132,28.7,8.4,0.7,1.5,21.3,7.5,0,2.7,2.6,3.8,0,2.7,1.1,9.5,0,2.7,2.6,4.1
          Female,970,250,71.3,8.4,10.7,6.2,52.9,11.2,0,2.7,3.3,3.8,0,2.7,0.7,9.4,3.7,4.8,0,2.7
3500 Licensed practical and licensed vocational nurses 3500 (SOC 29-2061),"3,050",390,100,1.2,1.1,1.4,94.8,2.9,0.7,0.8,0,1.2,0,1.2,1.6,4.5,0,1.2,1.6,2.2
          Male,395,127,13,3.9,0,1.2,12,3.7,0,1.2,0,1.2,0,1.2,0.7,4.3,0,1.2,0.3,0.6
          Female,"2,655",359,87,3.9,1.1,1.4,83,4,0.7,0.8,0,1.2,0,1.2,1,4.3,0,1.2,1.3,2.2
3510 Medical records and health information technicians 3510 (SOC 29-2071),455,170,100,7.9,2.2,3.9,71.4,12.8,0,7.9,17.6,12.7,0,7.9,5.5,28.8,3.3,5.8,0,7.9
          Male,80,97,17.6,18.8,0,7.9,14.3,18.4,0,7.9,0.9,1,0,7.9,0.9,28.2,0,7.9,0,7.9
          Female,380,141,83.5,18.9,2.2,3.9,57.1,18,0,7.9,16.5,12.5,0,7.9,4.4,28.7,3.3,5.8,0,7.9
"3520 Opticians, dispensing 3520 (SOC 29-2081)",170,180,100,19.7,8.8,16.5,61.8,50.4,0,19.7,26.5,44.5,0,19.7,0,19.7,2.4,12.9,0,19.7
          Male,15,23,8.8,16.5,8.8,16.5,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7
          Female,155,178,91.2,18.1,0,19.7,61.8,50.4,0,19.7,26.5,44.5,0,19.7,0,19.7,2.4,12.9,0,19.7
3535 Miscellaneous health technologists and technicians 3535 (SOC 29-2090),475,151,100,7.6,6.3,7.9,89.5,9.3,0,7.6,2.1,3.6,0,7.6,0,7.6,0,7.6,2.1,3.5
          Male,120,73,25.3,13.5,0,7.6,24.2,13.6,0,7.6,0.8,2.9,0,7.6,0,7.6,0,7.6,0,7.6
          Female,355,131,74.7,13.6,6.3,7.9,65.3,15.2,0,7.6,0.8,1.6,0,7.6,0,7.6,0,7.6,2.1,3.5
3540 Other healthcare practitioners and technical occupations 3540 (SOC 29-9000),145,78,100,22.5,48.3,25.6,31,24.7,0,22.5,13.8,20,0,22.5,10.3,88.7,0,22.5,0,22.5
          Male,40,36,27.6,20.4,6.9,11.1,24.1,23.6,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
          Female,105,64,72.4,21.9,41.4,24,6.9,12.8,0,22.5,13.8,20,0,22.5,10.3,88.7,0,22.5,0,22.5
"3600 Nursing, psychiatric, and home health aides 3600 (SOC 31-1010)","7,695",814,100,0.5,2.6,1.2,90.8,2.4,0,0.5,2.7,1.4,0,0.5,0.2,1.7,1.2,0.9,2.4,1.3
          Male,940,219,12.2,2.5,0.3,0.3,10.9,2.4,0,0.5,0.8,0.7,0,0.5,0.2,1.7,0,0.5,0.1,0.2
          Female,"6,755",736,87.8,2.5,2.3,1.1,80,3.3,0,0.5,1.9,1.1,0,0.5,0,0.5,1.2,0.9,2.3,1.4
3620 Physical therapist assistants and aides 3620 (SOC 31-2020),280,128,100,12.5,37.5,21.8,62.5,21.8,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5
          Male,165,115,58.9,26.4,25,23.8,33.9,23.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5
          Female,110,81,39.3,27.3,12.5,11.6,28.6,23.7,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5
3630 Massage therapists 3630 (SOC 31-9011),200,107,100,17,20,19,60,26.8,0,17,0,17,0,17,10,64.3,10,14.4,0,17
          Male,0,127,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
          Female,200,107,100,17,20,19,60,26.8,0,17,0,17,0,17,10,64.3,10,14.4,0,17
3640 Dental assistants 3640 (SOC 31-9091),840,237,100,4.4,7.7,7.1,61.9,13.4,0,4.4,9.5,8.1,0,4.4,0,4.4,7.7,6.9,13.7,9.6
          Male,120,101,14.3,11,0,4.4,14.3,11,0,4.4,0,4.4,0,4.4,0,4.4,0,4.4,0,4.4
          Female,720,205,85.7,10.9,7.7,7.1,47.6,12.3,0,4.4,9.5,8.1,0,4.4,0,4.4,7.7,6.9,13.7,9.6
3645 Medical assistants 3645 (SOC 31-9092),"1,155",231,100,3.2,9.1,5,64.5,9.3,0,3.2,4.3,3.3,0,3.2,0,3.2,10,6.6,12.1,6
          Male,30,51,2.6,4.3,0,3.2,2.6,4.3,0,3.2,0,3.2,0,3.2,0,3.2,0,3.2,0,3.2
          Female,"1,120",217,97,4.5,9.1,5,61.5,9.7,0,3.2,4.3,3.3,0,3.2,0,3.2,10,6.6,12.1,6
3646 Medical transcriptionists 3646 (SOC 31-9094),50,45,100,45.1,30,45.2,70,42.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1
          Male,0,127,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1
          Female,50,45,100,45.1,30,45.2,70,42.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1
3647 Pharmacy aides 3647 (SOC 31-9095),100,61,100,30.3,4,3.3,90,16,0,30.3,0,30.3,0,30.3,4,127,0,30.3,0,30.3
          Male,0,127,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3
          Female,100,61,100,30.3,4,3.3,90,16,0,30.3,0,30.3,0,30.3,4,127,0,30.3,0,30.3
3648 Veterinary assistants and laboratory animal caretakers 3648 (SOC 31-9096),205,100,100,16.6,41.5,24.5,39,25.9,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,19.5,20
          Male,75,70,36.6,26.6,19.5,20.2,19.5,26.5,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
          Female,130,70,63.4,26.1,24.4,20.1,19.5,18.5,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,19.5,20
3649 Phlebotomists 3649 (SOC 31-9097),370,167,100,9.6,10.8,15.7,90.5,16.1,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6
          Male,20,35,5.4,8.9,0,9.6,5.4,8.9,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6
